,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Cortez,37.3489,-108.5859,78.48,48,90,10.74,US,1595624400
359,Caravelas,-17.7125,-39.2481,73.38,71,4,5.19,BR,1595624400
360,Ulladulla,-35.35,150.4667,48.96,93,85,3.44,AU,1595624400
361,Campos dos Goytacazes,-21.75,-41.3,73.36,73,41,8.86,BR,1595624400
362,Cayenne,4.9333,-52.3333,85.66,71,49,11.14,GF,1595624400
363,Sudova Vyshnya,49.7889,23.3722,64.29,81,96,6.06,UA,1595624400
364,Karasjok,69.4719,25.5112,60.1,86,69,10.33,NO,1595624400
365,Ust-Kuyga,70.0167,135.6,74.32,65,8,0.43,RU,1595624400
366,Tegul'det,57.3064,88.1667,52.95,94,55,3.51,RU,1595624400
367,Yambio,4.5721,28.3955,68.59,94,96,2.17,SS,1595624400
368,Punta Alta,-38.8759,-62.0736,42.93,64,79,14.88,AR,1595624400
369,Biak,-0.9131,122.8766,75.99,80,66,6.51,ID,1595624400
370,Jieshi,22.8134,115.8257,84.22,84,98,11.83,CN,1595624400
371,Bengkulu,-3.8004,102.2655,75.02,89,72,3.65,ID,1595624400
372,Ostrovnoy,68.0531,39.5131,63.5,80,51,5.39,RU,1595624400
373,Freeport,40.6576,-73.5832,81.12,74,95,2.93,US,1595624400
374,Angoram,-4.0625,144.0661,73.51,97,82,2.13,PG,1595624400
375,Grand Gaube,-20.0064,57.6608,68.61,63,52,25.97,MU,1595624400
376,Manggar,-2.8833,108.2667,80.46,80,65,12.1,ID,1595624400
377,Manakara,-22.1333,48.0167,63.68,83,38,10.16,MG,1595624400
378,Shiyan,32.6475,110.7781,68.45,89,100,0.83,CN,1595624400
379,Port-Gentil,-0.7193,8.7815,75.85,77,70,13.24,GA,1595624400
380,Oeiras do Pará,-2.0031,-49.8544,89.11,52,46,1.99,BR,1595624400
381,São Geraldo do Araguaia,-6.4006,-48.555,91.92,30,62,3.06,BR,1595624400
382,Bonthe,7.5264,-12.505,76.84,84,99,10.31,SL,1595624400
383,Tairua,-37.0167,175.85,51.42,76,58,3.87,NZ,1595624400
384,Jiwani,25.05,61.7417,83.41,84,29,12.19,PK,1595624400
385,Dubuque,42.4833,-90.8668,81.36,68,24,7.16,US,1595624400
386,Bubaque,11.2833,-15.8333,80.53,81,100,11.79,GW,1595624400
387,Stodolishche,54.1859,32.6492,52.72,84,9,5.26,RU,1595624400
388,Kokopo,-4.352,152.2633,79.11,80,26,8.97,PG,1595624400
389,Natal,-5.795,-35.2094,79.68,72,26,14.9,BR,1595624400
390,Olafsvik,64.8945,-23.7142,47.88,66,40,18.72,IS,1595624400
391,Majene,-3.5403,118.9707,75.65,86,71,11.05,ID,1595624400
392,Sechura,-5.5569,-80.8222,73.72,59,22,18.19,PE,1595624400
393,Brigantine,39.4101,-74.3646,77.14,78,87,4.29,US,1595624400
394,Puerto Colombia,10.9878,-74.9547,84.25,74,87,13.65,CO,1595624400
395,Camacha,33.0833,-16.3333,69.62,85,10,17.54,PT,1595624400
396,Aksu,41.1231,80.2644,78.69,27,0,2.04,CN,1595624400
397,Agadez,19.75,10.25,90.27,15,0,1.95,NE,1595624400
398,Kruszwica,52.6756,18.3313,67.86,68,28,8.41,PL,1595624400
399,Lubumbashi,-11.6609,27.4794,55.44,49,0,6.85,CD,1595624400
400,Ca Mau,9.1769,105.15,75.76,87,100,2.57,VN,1595624400
401,Jennings,38.7192,-90.2604,88.11,59,41,8.21,US,1595624400
402,Kabale,-1.2486,29.9899,63.82,67,91,2.24,UG,1595624400
403,Egvekinot,66.3167,-179.1667,50.45,68,47,3.8,RU,1595624400
404,Fukuechō,32.6881,128.8419,75.0,81,92,18.25,JP,1595624400
405,Iqaluit,63.7506,-68.5145,53.62,56,81,6.4,CA,1595624400
406,Chimoré,-16.9833,-65.1333,78.3,75,99,1.48,BO,1595624400
407,Kapit,2.0167,112.9333,73.24,94,99,0.51,MY,1595624400
408,Clarence Town,-32.5833,151.7833,47.5,96,0,3.38,AU,1595624400
409,Pangoa,-12.1167,-73.0,84.0,51,83,3.98,PE,1595624400
410,Padang,-0.9492,100.3543,78.17,79,95,5.41,ID,1595624400
411,La Santisima Trinidad,-14.8333,-64.9,91.83,41,53,5.28,BO,1595624400
412,Jacmel,18.2342,-72.5347,85.03,66,11,9.42,HT,1595624400
413,Jambi City,-1.6,103.6167,73.08,97,79,2.89,ID,1595624400
414,Upernavik,72.7868,-56.1549,46.42,79,80,3.27,GL,1595624400
415,Bowen,-20.0167,148.2333,62.62,90,30,8.14,AU,1595624400
416,Burley,42.5357,-113.7928,88.93,30,1,11.03,US,1595624400
417,Verkh-Usugli,52.7,115.1667,57.83,95,13,3.51,RU,1595624400
418,Necochea,-38.5473,-58.7368,42.4,78,77,20.36,AR,1595624400
419,Pontianak,-0.0333,109.3333,74.89,92,88,1.66,ID,1595624400
420,Terrace Bay,48.7834,-87.1,64.67,74,37,8.19,CA,1595624400
421,Buritis,-15.6178,-46.4233,81.3,36,6,4.9,BR,1595624400
422,Udachny,66.4167,112.4,59.09,71,73,3.04,RU,1595624400
423,Giohar,2.7809,45.5005,74.07,76,59,11.81,SO,1595624400
424,Tres Arroyos,-38.3739,-60.2798,41.95,66,89,10.07,AR,1595624400
425,Grants Pass,42.439,-123.3284,86.81,34,1,6.78,US,1595624400
426,Shakawe,-18.3667,21.85,56.07,45,16,5.84,BW,1595624400
427,Hasaki,35.7333,140.8333,76.73,94,80,10.38,JP,1595624400
428,Hamilton,39.1834,-84.5333,88.57,48,10,4.21,US,1595624400
429,Qaryat Sulūq,31.6682,20.2521,75.92,72,0,9.93,LY,1595624400
430,Ixtapa,20.7,-105.2,84.54,77,68,5.1,MX,1595624400
431,Imbituba,-28.24,-48.6703,71.62,72,30,12.62,BR,1595624400
432,Pemangkat,1.1667,108.9667,75.94,88,89,3.85,ID,1595624400
433,Kingsport,36.5484,-82.5618,85.41,66,67,6.71,US,1595624400
434,Hobyo,5.3505,48.5268,77.54,71,48,25.23,SO,1595624400
435,Ola,59.5833,151.2833,56.97,83,35,2.8,RU,1595624400
436,Calvinia,-31.4707,19.776,56.88,35,0,7.23,ZA,1595624400
437,Fairbanks,64.8378,-147.7164,61.09,72,87,6.91,US,1595624400
438,Smithers,54.7804,-127.1743,66.02,60,78,6.89,CA,1595624400
439,Xianshuigu,38.985,117.3828,83.3,46,72,4.63,CN,1595624400
440,Mabama,-5.1333,32.5333,67.12,38,0,5.32,TZ,1595624400
441,Matagalpa,12.9256,-85.9175,82.98,56,17,7.14,NI,1595624400
442,Bayangol,50.6977,103.4656,57.15,91,100,3.0,RU,1595624400
443,Tilichiki,60.4667,166.1,60.04,65,31,4.32,RU,1595624400
444,Honiara,-9.4333,159.95,80.76,87,38,4.16,SB,1595624400
445,Lithakia,37.7167,20.8333,82.44,57,0,3.78,GR,1595624400
446,Chara,56.9064,118.2631,54.9,83,31,1.25,RU,1595624400
447,Vila Franca do Campo,37.7167,-25.4333,70.65,67,53,0.92,PT,1595624400
448,Tevriz,57.509,72.4042,53.11,95,22,3.22,RU,1595624400
449,Santiago del Estero,-27.7951,-64.2615,58.19,35,27,5.08,AR,1595624400
450,Kinablangan,7.6947,126.5503,78.51,79,100,4.21,PH,1595624400
451,Mikhaylovka,50.06,43.2379,61.92,60,20,4.34,RU,1595624400
452,Şuhut,38.5311,30.5458,70.11,35,0,4.7,TR,1595624400
453,Gizo Government Station,-8.103,156.8419,82.31,79,95,13.49,SB,1595624400
454,Qaqortoq,60.7167,-46.0333,51.75,80,87,6.4,GL,1595624400
455,Lyuban',52.7985,28.0048,57.87,80,66,5.44,BY,1595624400
456,Korop,51.5664,32.9586,56.48,76,29,3.6,UA,1595624400
457,Ürümqi,43.801,87.6005,77.92,26,0,3.04,CN,1595624400
458,Río Gallegos,-51.6226,-69.2181,37.63,90,83,15.79,AR,1595624400
459,Yar,58.249,52.1026,58.41,97,100,3.94,RU,1595624400
460,Halifax,44.6453,-63.5724,77.05,61,82,1.99,CA,1595624400
461,Porto Nacional,-10.7081,-48.4172,88.57,30,25,4.43,BR,1595624400
462,Huilong,31.8111,121.655,72.68,88,1,11.01,CN,1595624400
463,Luena,-11.7833,19.9167,55.69,39,8,3.74,AO,1595624400
464,Marawi,7.9986,124.2928,71.01,94,84,2.46,PH,1595624400
465,Vicuña,-30.0319,-70.7081,59.92,36,0,1.88,CL,1595624400
466,Iskateley,67.6803,53.1512,62.13,65,0,11.14,RU,1595624400
467,Mayahi,13.9553,7.6712,89.6,44,42,7.23,NE,1595624400
468,Nuristan,35.3,70.8333,45.19,64,10,5.99,AF,1595624400
469,Chifeng,42.2683,118.9636,72.19,46,54,1.79,CN,1595624400
470,Port Keats,-14.25,129.55,68.65,39,0,14.99,AU,1595624400
471,Narsaq,60.9167,-46.05,53.31,77,87,6.38,GL,1595624400
472,Sidvokodvo,-26.6282,31.4202,58.87,76,55,1.81,SZ,1595624400
473,Papara,-3.9839,-38.7273,79.36,64,25,4.7,BR,1595624400
474,Koslan,63.4564,48.8989,59.58,88,7,2.28,RU,1595624400
475,Niigata,37.9022,139.0236,71.4,95,87,3.53,JP,1595624400
476,Aginskoye,51.1,114.53,62.38,85,36,5.12,RU,1595624400
477,Pisco,-13.7,-76.2167,69.67,59,0,8.16,PE,1595624400
478,Vao,-22.6667,167.4833,70.99,83,84,18.57,NC,1595624400
479,Griffith,41.5284,-87.4237,84.78,58,30,3.94,US,1595624400
480,Paamiut,61.994,-49.6678,47.3,93,90,5.77,GL,1595624400
481,Nabire,-3.3667,135.4833,76.12,87,96,3.56,ID,1595624400
482,Yefremov,53.1481,38.0992,54.77,89,22,4.56,RU,1595624400
483,Oodweyne,9.4092,45.064,73.45,56,34,15.17,SO,1595624400
484,Rio Grande,-32.035,-52.0986,55.04,87,95,14.99,BR,1595624400
485,Shitanjing,39.2342,106.3439,69.4,68,100,9.57,CN,1595624400
486,Puerto El Triunfo,13.2833,-88.55,87.13,70,15,7.7,SV,1595624400
487,Kazachinskoye,57.6953,93.2761,50.86,94,3,2.13,RU,1595624400
488,Huayang,34.4155,109.9939,58.98,100,100,1.1,CN,1595624400
489,Ancud,-41.8697,-73.8203,47.12,82,95,14.81,CL,1595624400
490,Turukhansk,65.8167,87.9833,54.3,80,90,3.4,RU,1595624400
491,Belmonte,-15.8631,-38.8828,74.43,71,21,8.23,BR,1595624400
492,Neosho,36.869,-94.368,90.54,52,44,4.14,US,1595624400
493,Port Macquarie,-31.4333,152.9167,58.59,83,84,3.44,AU,1595624400
494,Eenhana,-17.4667,16.3333,62.29,35,0,7.58,NA,1595624400
495,Ustka,54.5805,16.8619,62.11,88,77,12.19,PL,1595624400
496,Vestmanna,62.1564,-7.1664,50.47,94,100,7.38,FO,1595624400
497,Oxford,51.7522,-1.256,66.38,73,69,6.82,GB,1595624400
498,Brădeşti,44.4833,23.6333,71.74,74,65,6.96,RO,1595624400
499,Baculin,7.4525,126.5842,78.67,75,100,4.09,PH,1595624400
500,Shubarshi,48.5872,57.1869,73.02,42,19,5.59,KZ,1595624400
501,Arrondissement de Saint-Denis,48.9167,2.3333,71.96,54,45,3.06,FR,1595624400
502,Zheleznodorozhnyy,55.7503,38.0042,57.63,65,13,3.49,RU,1595624400
503,Muscatine,41.4667,-91.1335,83.16,68,1,5.5,US,1595624400
504,Granada,37.1882,-3.6067,86.43,27,10,3.94,ES,1595624400
505,Klaksvík,62.2266,-6.589,51.39,93,100,7.99,FO,1595624400
506,Torbay,47.6666,-52.7314,55.15,99,95,3.04,CA,1595624400
507,Tromsø,69.6496,18.957,58.66,80,94,1.92,NO,1595624400
508,Bilibino,68.0546,166.4372,73.74,62,5,5.17,RU,1595624400
509,Monywa,22.1167,95.1333,85.14,72,83,4.16,MM,1595624400
510,Nālchiti,22.6333,90.2833,80.15,90,77,4.94,BD,1595624400
511,Rovaniemi,66.5,25.7167,54.86,92,69,5.08,FI,1595624400
512,Luís Correia,-2.8792,-41.6669,82.69,69,41,11.54,BR,1595624400
513,Kluang,2.0251,103.3328,75.58,93,50,0.92,MY,1595624400
514,Conceição da Barra,-18.5933,-39.7322,73.29,74,27,5.73,BR,1595624400
515,Elko,41.0002,-115.5012,85.55,18,1,11.5,US,1595624400
516,Flin Flon,54.7682,-101.865,83.7,72,71,6.13,CA,1595624400
517,Geilo,60.5333,8.2076,52.34,57,3,6.69,NO,1595624400
518,Preobrazheniye,42.9019,133.9064,63.25,89,95,10.13,RU,1595624400
519,Lagoa,39.05,-27.9833,70.12,76,0,10.45,PT,1595624400
520,Altamira,-3.2033,-52.2064,88.74,53,69,2.84,BR,1595624400
521,Kenai,60.5544,-151.2583,56.64,81,95,4.0,US,1595624400
522,Dolisie,-4.1997,12.6739,71.87,70,48,7.25,CG,1595624400
523,Juneau,58.3019,-134.4197,57.72,79,94,4.59,US,1595624400
524,Tabuk,17.4189,121.4443,73.99,87,61,2.21,PH,1595624400
525,Banda Aceh,5.5577,95.3222,78.93,80,90,5.12,ID,1595624400
526,San Luis Río Colorado,32.4631,-114.7767,104.4,22,1,14.61,MX,1595624400
527,Fiumicino,41.7675,12.2291,79.95,78,11,13.4,IT,1595624400
528,Agirish,61.9247,63.0231,54.03,69,47,4.56,RU,1595624400
529,Dzhebariki-Khaya,62.2167,135.8,67.96,65,0,2.13,RU,1595624400
530,Taoudenni,22.6783,-3.9836,109.53,7,0,14.54,ML,1595624400
531,Meulaboh,4.1363,96.1285,76.39,88,98,3.67,ID,1595624400
532,Kaeo,-35.1,173.7833,51.71,38,52,3.67,NZ,1595624400
533,Vila Velha,-20.3297,-40.2925,74.79,74,59,9.24,BR,1595624400
534,Plácido de Castro,-10.3353,-67.1856,94.05,35,8,2.57,BR,1595624400
535,Aripuanã,-9.1667,-60.6333,94.64,32,20,0.96,BR,1595624400
536,Kabo,7.6994,18.629,72.5,91,67,2.91,CF,1595624400
537,Esim,4.8699,-2.2405,76.68,82,71,8.23,GH,1595624400
538,Oranjestad,12.524,-70.027,84.31,75,87,17.0,AW,1595624400
539,Mount Hagen,-5.8581,144.2274,57.65,92,46,2.46,PG,1595624400
540,Buchanan,5.8808,-10.0467,76.48,90,87,11.54,LR,1595624400
541,Verāval,20.9,70.3667,83.95,80,87,9.89,IN,1595624400
542,Kamenka,51.3223,42.7678,58.23,66,26,0.65,RU,1595624400
543,Aksay,47.26,39.87,71.58,40,15,8.19,RU,1595624400
544,Galesburg,40.9478,-90.3712,82.22,66,1,3.96,US,1595624400
545,Nālūt,30.3333,10.85,85.84,15,0,12.19,LY,1595624400
546,Sangar,63.9242,127.4739,64.47,60,94,7.4,RU,1595624400
547,Conakry,9.538,-13.6773,78.85,85,100,14.9,GN,1595624400
548,Pāsighāt,28.0667,95.3333,77.85,80,81,0.83,IN,1595624400
549,Berezanka,46.8526,31.388,71.94,46,4,5.82,UA,1595624400
550,Cairns,-16.9167,145.7667,66.0,80,55,7.85,AU,1595624400
551,Oyama,36.3,139.8,75.47,84,87,3.38,JP,1595624400
552,Moctezuma,29.8,-109.6667,88.29,49,58,8.41,MX,1595624400
553,Provincia di Cagliari,39.245,9.0912,81.1,59,0,11.14,IT,1595624400
